gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
986379092	f03cf033-66d8-4562-bace-f0417532c110	1.8094	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea quercina		SPECIES	Brenneria quercina (Hildebrand & Schroth, 1967) Hauben et al., 1999	Brenneria quercina					PRESENT		30d2bd90-12aa-11dc-80c8-b8a03c50a862													3221935	7616133	UNKNOWN	Centre de Ressources Biologiques de l Institut Pasteur	CRBIP	105201		1997, CFBP <- D. Hildebrand: strain 1		CC_BY_4_0					2021-09-24T02:01:05.165Z		
931102195	bb2584cf-bfcb-4806-a873-ba15b005048f	CFBP_6527	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea quercina		SPECIES	Brenneria quercina (Hildebrand & Schroth, 1967) Hauben et al., 1999	Brenneria quercina		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f									2000-01-01T00:00:00			2000	3221935	7616133	UNKNOWN	INRA - Centre d'Angers		CFBP_6527		Milagros-Lopez M. IVIA2361-5a		CC_BY_4_0					2021-09-24T02:01:12.161Z		COUNTRY_MISMATCH
931102174	bb2584cf-bfcb-4806-a873-ba15b005048f	CFBP_6525	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea quercina		SPECIES	Brenneria quercina (Hildebrand & Schroth, 1967) Hauben et al., 1999	Brenneria quercina		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f									1992-01-01T00:00:00			1992	3221935	7616133	UNKNOWN	INRA - Centre d'Angers		CFBP_6525		Milagros-Lopez M. IVIA1251-3a		CC_BY_4_0					2021-09-24T02:01:12.157Z		COUNTRY_MISMATCH
931101962	bb2584cf-bfcb-4806-a873-ba15b005048f	CFBP_6526	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea quercina		SPECIES	Brenneria quercina (Hildebrand & Schroth, 1967) Hauben et al., 1999	Brenneria quercina		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f									1998-01-01T00:00:00			1998	3221935	7616133	UNKNOWN	INRA - Centre d'Angers		CFBP_6526		Milagros-Lopez M. IVIA1988-2b		CC_BY_4_0					2021-09-24T02:01:11.895Z		COUNTRY_MISMATCH
931099874	bb2584cf-bfcb-4806-a873-ba15b005048f	CFBP_3617	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea quercina		SPECIES	Brenneria quercina (Hildebrand & Schroth, 1967) Hauben et al., 1999	Brenneria quercina		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f									1964-01-01T00:00:00			1964	3221935	7616133	UNKNOWN	INRA - Centre d'Angers	ICMP 1845, NCPPB_1852, ATCC _29281	CFBP_3617		Hildebrand D.C. 1		CC_BY_4_0					2021-09-24T02:01:11.994Z		COUNTRY_MISMATCH;TYPE_STATUS_INVALID
931099295	bb2584cf-bfcb-4806-a873-ba15b005048f	CFBP_4005	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea quercina		SPECIES	Brenneria quercina (Hildebrand & Schroth, 1967) Hauben et al., 1999	Brenneria quercina		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f									1996-01-01T00:00:00			1996	3221935	7616133	UNKNOWN	INRA - Centre d'Angers		CFBP_4005		Lopez M.M. 1625ad		CC_BY_4_0					2021-09-24T02:01:11.960Z		COUNTRY_MISMATCH
931099271	bb2584cf-bfcb-4806-a873-ba15b005048f	CFBP_4004	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea quercina		SPECIES	Brenneria quercina (Hildebrand & Schroth, 1967) Hauben et al., 1999	Brenneria quercina		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f									1996-01-01T00:00:00			1996	3221935	7616133	UNKNOWN	INRA - Centre d'Angers		CFBP_4004		Lopez M.M. 1618 a		CC_BY_4_0					2021-09-24T02:01:11.937Z		COUNTRY_MISMATCH
931099247	bb2584cf-bfcb-4806-a873-ba15b005048f	CFBP_4003	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea quercina		SPECIES	Brenneria quercina (Hildebrand & Schroth, 1967) Hauben et al., 1999	Brenneria quercina		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f									1995-01-01T00:00:00			1995	3221935	7616133	UNKNOWN	INRA - Centre d'Angers		CFBP_4003		Lopez M.M. 1467 a		CC_BY_4_0					2021-09-24T02:01:11.879Z		COUNTRY_MISMATCH
931099229	bb2584cf-bfcb-4806-a873-ba15b005048f	CFBP_4002	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea quercina		SPECIES	Brenneria quercina (Hildebrand & Schroth, 1967) Hauben et al., 1999	Brenneria quercina		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f									1995-01-01T00:00:00			1995	3221935	7616133	UNKNOWN	INRA - Centre d'Angers		CFBP_4002		Lopez M.M. 1442 2b		CC_BY_4_0					2021-09-24T02:01:11.877Z		COUNTRY_MISMATCH
931097506	bb2584cf-bfcb-4806-a873-ba15b005048f	CFBP_1266	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea quercina		SPECIES	Brenneria quercina (Hildebrand & Schroth, 1967) Hauben et al., 1999	Brenneria quercina		FR			PRESENT		7c4f3b54-fc4b-42f3-a664-3ca93d12e10f													3221935	7616133	UNKNOWN	INRA - Centre d'Angers		CFBP_1266		Schroth M.N. Acc		CC_BY_4_0					2021-09-24T02:01:11.911Z		COUNTRY_MISMATCH
891783383	863efcc4-f762-11e1-a439-00145eb45e9a		Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea quercina	populi	SUBSPECIES	Lonsdalea quercina subsp. populi Tóth et al., 2013	Lonsdalea quercina subsp. populi Tóth et al. 2013	Tóth et al. 2013	HU	Szentkirály		PRESENT		463555b0-d081-11da-ae8f-b8a03c50a862													7928867	7616133	LIVING_SPECIMEN	DSMZ	Prokarya	DSM 25468				CC_BY_4_0					2021-09-24T05:55:43.257Z		COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
891783381	863efcc4-f762-11e1-a439-00145eb45e9a		Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea quercina	populi	SUBSPECIES	Lonsdalea quercina subsp. populi Tóth et al., 2013	Lonsdalea quercina subsp. populi Tóth et al. 2013	Tóth et al. 2013	HU	Nyársapát		PRESENT		463555b0-d081-11da-ae8f-b8a03c50a862													7928867	7616133	LIVING_SPECIMEN	DSMZ	Prokarya	DSM 25467				CC_BY_4_0					2021-09-24T05:55:43.258Z		COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
891783380	863efcc4-f762-11e1-a439-00145eb45e9a		Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea quercina	populi	SUBSPECIES	Lonsdalea quercina subsp. populi Tóth et al., 2013	Lonsdalea quercina subsp. populi Tóth et al. 2013	Tóth et al. 2013	HU	Mikebuda (19° 40' 17.2'' N, 47° 09' 43.6'' E)		PRESENT		463555b0-d081-11da-ae8f-b8a03c50a862	47.1621	19.6714											7928867	7616133	LIVING_SPECIMEN	DSMZ	Prokarya	DSM 25466				CC_BY_4_0			TYPE		2021-09-24T05:55:43.258Z		GEODETIC_DATUM_ASSUMED_WGS84;PRESUMED_SWAPPED_COORDINATE;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
100278721	8323a4b8-f762-11e1-a439-00145eb45e9a		Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea quercina		SPECIES	Erwinia quercina Hildebrand & Schroth, 1967	Erwinia quercina					PRESENT		29817330-5d61-11d8-b9b2-b8a03c50a862									1964-01-01T00:00:00			1964	3221936	7616133	PRESERVED_SPECIMEN	CABI	IMI	356537				CC_BY_4_0					2021-09-23T22:51:46.763Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
87809113	863efcc4-f762-11e1-a439-00145eb45e9a		Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea quercina	quercina	SUBSPECIES	Lonsdalea quercina subsp. quercina	Lonsdalea quercina subsp. quercina (Hildebrand and Schroth 1967) Brady et al. 2012	Brady et al. 2012	US			PRESENT		463555b0-d081-11da-ae8f-b8a03c50a862													8406662	7616133	LIVING_SPECIMEN	DSMZ	Prokarya	DSM 4561				CC_BY_4_0			TYPE		2021-09-24T05:55:42.164Z		COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
57105045	855abc6c-f762-11e1-a439-00145eb45e9a		Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea quercina		SPECIES	Erwinia quercina Hildebrand & Schroth, 1967	Erwinia quercina					PRESENT		8273e420-46f3-11d8-aa2e-b8a03c50a862													3221936	7616133	UNKNOWN	DSMZ	Bacteria	2532				CC_BY_4_0					2021-09-24T06:09:17.636Z		BASIS_OF_RECORD_INVALID
57103588	855abc6c-f762-11e1-a439-00145eb45e9a		Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea quercina		SPECIES	Brenneria quercina (Hildebrand & Schroth, 1967) Hauben et al., 1999	Brenneria quercina					PRESENT		8273e420-46f3-11d8-aa2e-b8a03c50a862													3221935	7616133	UNKNOWN	DSMZ	Bacteria	13530				CC_BY_4_0					2021-09-24T06:09:17.914Z		BASIS_OF_RECORD_INVALID
57049384	855199ca-f762-11e1-a439-00145eb45e9a		Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea quercina		SPECIES	Erwinia quercina Hildebrand & Schroth, 1967	Erwinia quercina					PRESENT		8273e420-46f3-11d8-aa2e-b8a03c50a862													3221936	7616133	UNKNOWN	ATCC	Bacteria	2532				CC_BY_4_0					2021-09-24T06:09:04.515Z		BASIS_OF_RECORD_INVALID
42461321	832282e0-f762-11e1-a439-00145eb45e9a		Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea quercina		SPECIES	Erwinia quercina Hildebrand & Schroth, 1967	Erwinia quercina		US			PRESENT		29817330-5d61-11d8-b9b2-b8a03c50a862													3221936	7616133	LIVING_SPECIMEN	CABI	CABI-GRC	356537		J. Smith		CC_BY_4_0					2021-09-24T05:58:49.886Z		COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
